timestamp_utc,iTOW,tAcc,nano,year,month,day,hour,min,sec,valid,validTOW,validWKN,validUTC,authStatus,utcStandard
2025-10-03T21:58:50.000104+00:00,511148000,39,-104372,2025,10,3,21,58,50,55,True,True,True,3,3
2025-10-03T21:58:55.000107+00:00,511153000,39,-107123,2025,10,3,21,58,55,55,True,True,True,3,3
2025-10-03T21:59:00.000109+00:00,511158000,39,-109875,2025,10,3,21,59,0,55,True,True,True,3,3
2025-10-03T21:59:05.000112+00:00,511163000,39,-112627,2025,10,3,21,59,5,55,True,True,True,3,3
2025-10-03T21:59:10.000115+00:00,511168000,39,-115380,2025,10,3,21,59,10,55,True,True,True,3,3
2025-10-03T21:59:15.000118+00:00,511173000,39,-118132,2025,10,3,21,59,15,55,True,True,True,3,3
2025-10-03T21:59:20.000120+00:00,511178000,39,-120885,2025,10,3,21,59,20,55,True,True,True,3,3
2025-10-03T21:59:25.000123+00:00,511183000,39,-123637,2025,10,3,21,59,25,55,True,True,True,3,3
2025-10-03T21:59:30.000126+00:00,511188000,39,-126389,2025,10,3,21,59,30,55,True,True,True,3,3
2025-10-03T21:59:35.000129+00:00,511193000,39,-129142,2025,10,3,21,59,35,55,True,True,True,3,3
2025-10-03T21:59:40.000131+00:00,511198000,39,-131895,2025,10,3,21,59,40,55,True,True,True,3,3
2025-10-03T21:59:45.000134+00:00,511203000,39,-134647,2025,10,3,21,59,45,55,True,True,True,3,3
2025-10-03T21:59:50.000137+00:00,511208000,39,-137400,2025,10,3,21,59,50,55,True,True,True,3,3
2025-10-03T21:59:55.000140+00:00,511213000,39,-140152,2025,10,3,21,59,55,55,True,True,True,3,3
2025-10-03T22:00:00.000142+00:00,511218000,39,-142904,2025,10,3,22,0,0,55,True,True,True,3,3
2025-10-03T22:00:05.000145+00:00,511223000,39,-145657,2025,10,3,22,0,5,55,True,True,True,3,3
2025-10-03T22:00:10.000148+00:00,511228000,39,-148409,2025,10,3,22,0,10,55,True,True,True,3,3
2025-10-03T22:00:15.000151+00:00,511233000,39,-151161,2025,10,3,22,0,15,55,True,True,True,3,3
2025-10-03T22:00:20.000153+00:00,511238000,39,-153914,2025,10,3,22,0,20,55,True,True,True,3,3
2025-10-03T22:00:25.000156+00:00,511243000,39,-156665,2025,10,3,22,0,25,55,True,True,True,3,3
2025-10-03T22:00:30.000159+00:00,511248000,39,-159416,2025,10,3,22,0,30,55,True,True,True,3,3
2025-10-03T22:00:35.000162+00:00,511253000,39,-162168,2025,10,3,22,0,35,55,True,True,True,3,3
2025-10-03T22:00:40.000164+00:00,511258000,39,-164919,2025,10,3,22,0,40,55,True,True,True,3,3
2025-10-03T22:00:45.000167+00:00,511263000,39,-167669,2025,10,3,22,0,45,55,True,True,True,3,3
2025-10-03T22:00:50.000170+00:00,511268000,39,-170421,2025,10,3,22,0,50,55,True,True,True,3,3
2025-10-03T22:00:55.000173+00:00,511273000,39,-173172,2025,10,3,22,0,55,55,True,True,True,3,3
2025-10-03T22:01:00.000175+00:00,511278000,39,-175922,2025,10,3,22,1,0,55,True,True,True,3,3
2025-10-03T22:01:05.000178+00:00,511283000,39,-178673,2025,10,3,22,1,5,55,True,True,True,3,3
2025-10-03T22:01:10.000181+00:00,511288000,39,-181424,2025,10,3,22,1,10,55,True,True,True,3,3
2025-10-03T22:01:15.000184+00:00,511293000,39,-184174,2025,10,3,22,1,15,55,True,True,True,3,3
2025-10-03T22:01:20.000186+00:00,511298000,39,-186925,2025,10,3,22,1,20,55,True,True,True,3,3
2025-10-03T22:01:25.000189+00:00,511303000,39,-189676,2025,10,3,22,1,25,55,True,True,True,3,3
2025-10-03T22:01:30.000192+00:00,511308000,39,-192426,2025,10,3,22,1,30,55,True,True,True,3,3
2025-10-03T22:01:35.000195+00:00,511313000,39,-195177,2025,10,3,22,1,35,55,True,True,True,3,3
2025-10-03T22:01:40.000197+00:00,511318000,39,-197928,2025,10,3,22,1,40,55,True,True,True,3,3
2025-10-03T22:01:45.000200+00:00,511323000,39,-200679,2025,10,3,22,1,45,55,True,True,True,3,3
2025-10-03T22:01:50.000203+00:00,511328000,39,-203429,2025,10,3,22,1,50,55,True,True,True,3,3
2025-10-03T22:01:55.000206+00:00,511333000,39,-206181,2025,10,3,22,1,55,55,True,True,True,3,3
2025-10-03T22:02:00.000208+00:00,511338000,39,-208931,2025,10,3,22,2,0,55,True,True,True,3,3
2025-10-03T22:02:05.000211+00:00,511343000,39,-211683,2025,10,3,22,2,5,55,True,True,True,3,3
